name,entry,exit,entry_time
粤AFA8387,广东草堂站,广东兴业站,2022/11/17 15:18
粤AFC7522,广东黄村站,广东仙村站,2022/11/17 09:02
粤A2BZ28,广东街口站街北,广东华快黄埔站,2022/11/15 20:30
粤AF55452,广东华快凤凰站,广东黄村站,2022/11/15 16:47
粤AF55452,广东黄村站,广东华快凤凰站,2022/11/15 14:09
粤A095SE,广东华快黄埔站,广东华快土华站,2022/11/15 11:41
粤A10RK0,广东大学城站,广东福安站,2022/11/15 09:33
粤A2BZ28,广东隧华同和站,广东华快新洲站,2022/11/07 18:06
粤A2BZ28,广东华快新洲站,广东隧华同和站,2022/11/07 16:08
粤AF49313,广东隧华沙太站,广东华快新洲站,2022/11/04 18:29
粤AFC7522,广东华快新洲站,广东隧华同和站,2022/11/04 16:35
粤A095SE,广东华快帽峰山站,广东华快黄埔站,2022/11/04 10:17
粤AF49313,广东华快新洲站,广东隧华同和站,2022/11/04 08:48
粤AF49313,广东隧华同和站,广东华快新洲站,2022/11/03 20:43
粤AF49313,广东隧华沙太站,广东隧华同和站,2022/11/03 20:39
粤AF49313,广东华快新洲站,广东隧华同和站,2022/11/03 09:24
粤AF49313,广东隧华同和站,广东华快新洲站,2022/11/02 20:07
粤A095SE,广东华快新洲站,广东华快帽峰山站,2022/11/02 19:25
粤A2BZ28,广东隧华同和站,广东华快新洲站,2022/11/02 16:37
粤A2BZ28,广东华快新洲站,广东隧华同和站,2022/11/02 14:53
粤AF55452,广东华快凤凰站,广东黄村站,2022/11/02 10:18
粤AF49313,广东华快新洲站,广东隧华同和站,2022/11/02 09:33
粤AF55452,广东黄村站,广东华快凤凰站,2022/11/02 09:28
粤A2BZ28,广东华快新洲站,广东华快黄埔站,2022/11/02 09:19
粤AF49313,广东隧华沙太站,广东华快新洲站,2022/11/01 21:10
粤A2BZ28,广东隧华同和站,广东华快新洲站,2022/11/01 15:12
粤A2BZ28,广东华快新洲站,广东隧华同和站,2022/11/01 14:06
粤AF49313,广东华快新洲站,广东隧华同和站,2022/11/01 08:35
粤AFA8387,广东仙村站,广东华快新洲站,2022/10/29 12:56
粤AF49313,广东隧华同和站,广东华快广园站,2022/10/28 14:19
粤A2BZ28,广东隧华同和站,广东华快新洲站,2022/10/25 22:41
粤A2BZ28,广东华快广园站,广东隧华同和站,2022/10/25 22:14
粤A2BZ28,广东华快新洲站,广东华快黄埔站,2022/10/25 16:17
粤AF55452,广东黄村站,广东华快凤凰站,2022/10/25 09:39
粤A9P61Q,广东仙涌站,广东大夫山站,2022/10/24 10:28
粤A9P61Q,广东金山湖站,广东仙涌站,2022/10/24 09:34
粤A10RK0,广东三龙湾站,广东南丫匝道站,2022/10/21 11:24
粤A10RK0,广东南丫匝道站,广东三龙湾站,2022/10/21 09:45
粤AF49313,广东华快新洲站,广东华快黄埔站,2022/10/21 09:22
粤AF55452,广东华快凤凰站,广东黄村站,2022/10/20 11:53
粤A4A5V8,广东庆丰站,广东隧华同和站,2022/10/20 10:25
粤AF55452,广东黄村站,广东华快凤凰站,2022/10/20 09:18
粤A9F19S,广东仙涌站,广东大夫山站,2022/10/19 11:19
粤A9F19S,广东南丫匝道站,广东三龙湾站,2022/10/19 09:43
粤AFA8387,广东华快黄埔站,广东华快新洲站,2022/10/18 16:45
粤A2BZ28,广东华快新洲站,广东华快黄埔站,2022/10/17 09:09
粤AFA8387,广东蚌湖站机场,广东隧华朝阳站,2022/10/14 13:55
粤AF49837,广东隧华朝阳站,广东黄村站,2022/10/14 11:34
粤AF49837,广东黄村站,广东隧华朝阳站,2022/10/14 09:14
粤A9F19S,广东仙涌站,广东大夫山站,2022/10/13 11:53
粤A9F19S,广东大夫山站,广东仙涌站,2022/10/13 10:39
粤AF49837,广东隧华朝阳站,广东华快新洲站,2022/10/12 16:08
粤AFA8387,广东隧华朝阳站,广东华快新洲站,2022/10/12 16:08
粤AF55452,广东华快凤凰站,广东黄村站,2022/10/11 11:54
粤A9P61Q,广东仙涌站,广东大夫山站,2022/10/11 10:42
粤AF55452,广东八斗站,广东华快凤凰站,2022/10/11 10:08
粤A9P61Q,广东金山湖站,广东仙涌站,2022/10/11 09:40
粤AF55452,广东黄村站,广东华快凤凰站,2022/10/10 09:53
粤A2BZ28,广东三龙湾站,广东南丫匝道站,2022/10/09 11:29
粤A2BZ28,广东金山大道东站,广东三龙湾站,2022/10/09 10:35
粤AF55452,广东黄村站,广东华快凤凰站,2022/10/09 09:30
粤AFB6237,广东华快黄埔站,广东华快新洲站,2022/12/13 14:36
粤AFB6237,广东山前站,广东隧华朝阳站,2022/12/13 12:45
粤A9P61Q,广东三龙湾站,广东南丫匝道站,2022/12/13 12:05
粤A10RK0,广东三龙湾站,广东南丫匝道站,2022/12/13 12:05
粤A2BZ28,广东隧华同和站,广东科韵路站,2022/12/13 11:07
粤A2BZ28,广东华快广园站,广东隧华同和站,2022/12/13 10:38
粤A10RK0,广东南丫匝道站,广东三龙湾站,2022/12/13 10:30
粤A9P61Q,广东大夫山站,广东仙涌站,2022/12/13 09:49
粤A4B17J,广东红群站,广东腊圃站,2022/12/09 10:41
粤A4B17J,广东东湖站,广东红群站,2022/12/09 10:34
粤A4B17J,广东三元里站,广东东湖站,2022/12/09 09:58
粤A2BZ28,广东长洲岛主线站,广东黄阁站广珠北段,2022/12/06 10:42
粤A3Q0M0,广东派潭站,广东华快黄埔站,2022/12/07 16:44
粤A3Q0M0,广东华快黄埔站,广东派潭站,2022/12/07 14:37
粤A4B17J,广东华快新洲站,广东华快黄埔站,2022/12/07 14:34
粤AF49837,广东金谷站,广东东湖站,2022/12/07 12:08
粤A3Q0M0,广东东湖站,广东三元里站,2022/12/07 11:54
粤A3Q0M0,广东华快龙洞站,广东东湖站,2022/12/07 09:51
